ticket_id,subject,body,priority,department
TKT-10109,Partial order received,Order #700126 was supposed to contain 3 items but only 2 arrived. Missing: laptop sleeve. The packing slip shows all items were included.,Medium,Shipping
TKT-10503,Account merger request,We have two separate accounts (jdoe@acmecorp.com and team@retailco.com) that need to be merged. The backup@acmecorp.com account was created by mistake. Please consolidate under jdoe@acmecorp.com.,Medium,Account
TKT-11041,Promo code not applied,I entered promo code SAVE20 during checkout but the discount wasn't applied. I was charged the full $75.00. Please adjust my bill.,Low,Billing
TKT-11969,Unhappy customer,"I've been having nothing but problems. The workflow automation doesn't work, I was overcharged $75.00, and my last order #700147 never arrived. Please fix all of this.",High,Billing
TKT-10362,Slow dashboard loading,"The analytics dashboard takes over 45 seconds to load. This happens in both Edge and Firefox. Other pages load normally. Our dataset has about 50,000 rows.",Medium,Technical
TKT-11734,Technical issue with billing portal,The billing page returns TIMEOUT_408 on Chrome. I can't view or download invoices for account AC-100044. This has been happening since two days ago.,High,Technical
TKT-10881,Billing cycle change request,Can I switch my billing cycle from monthly to annual? I'd like to take advantage of the yearly discount for the Starter plan.,High,Billing
TKT-10148,Reset my password,I've been locked out of my account (admin@techfirm.io) after too many failed login attempts. The password reset email isn't arriving. Can you manually reset it?,Medium,Account
TKT-10775,Comparison with competitor,"I'm evaluating your product against Freshdesk. Can you provide a comparison of features, especially around workflow automation and white-label options? We're a 500-person company.",Urgent,Billing
TKT-11776,Can't access account after plan change,I upgraded to Business yesterday and now I get RATE_LIMIT_429 when I try to log in. My email is ops@startup.dev. Was the upgrade processed correctly?,High,Account
TKT-11544,Return shipping label needed,I'd like to return order #700121 (laptop sleeve). It doesn't fit our requirements. Could you please email a prepaid return label to jdoe@acmecorp.com?,High,Shipping
TKT-11564,Damaged package,My order #700120 arrived with significant damage to the packaging and the laptop sleeve inside is broken. I've attached photos. Please send a replacement.,High,Shipping
TKT-10119,Return shipping label needed,I'd like to return order #700117 (laptop sleeve). It doesn't fit our requirements. Could you please email a prepaid return label to maria.g@retailco.com?,High,Shipping
TKT-10358,Change account owner,We need to transfer account ownership from ops@startup.dev to jsmith@techfirm.io. John Doe has left the company and Lisa Wang will be the new admin.,Medium,Account
TKT-10085,How to set up automated reports,I'm trying to configure scheduled reports to be emailed to my team every monthly. I can't find this option in the Growth plan. Is it available or do I need to upgrade?,Low,Product
TKT-10324,Change shipping address,"I need to update the shipping address for order #700145 from San Francisco to Boston. The order hasn't shipped yet. New address: 456 Oak Ave, Floor 2.",Low,Shipping
TKT-10169,Damaged package,My order #700130 arrived with significant damage to the packaging and the docking station inside is broken. I've attached photos. Please send a replacement.,High,Shipping
TKT-10713,Data deletion request,"Per our company policy, I'm requesting complete deletion of all data associated with account maria.g@retailco.com. Please confirm when this is done and provide a confirmation reference.",Low,Account
TKT-11380,Documentation unclear,The docs for the advanced analytics API endpoint are missing examples for customer onboarding. I've spent 5 hours trying to figure out the correct request format. Can you provide a working example?,Medium,Product
TKT-11413,Change account owner,We need to transfer account ownership from ops@startup.dev to jsmith@techfirm.io. Alex Kim has left the company and Rachel Adams will be the new admin.,Medium,Account
TKT-11999,Urgent issue,Please call me back regarding my recent order and billing. Account ops@startup.dev. This needs immediate attention.,Low,Billing
TKT-10390,Onboarding guidance needed,We just signed up for the Professional plan with 50 users. Could you recommend the best way to onboard our team? We primarily need workflow automation and white-label options.,Urgent,Product
TKT-10882,Slow dashboard loading,"The analytics dashboard takes over 30 seconds to load. This happens in both Edge and Chrome. Other pages load normally. Our dataset has about 50,000 rows.",Low,Technical
TKT-10435,How to set up automated reports,I'm trying to configure scheduled reports to be emailed to my team every daily. I can't find this option in the Starter plan. Is it available or do I need to upgrade?,Low,Product
TKT-10994,International shipping inquiry,I'm trying to place an order for delivery to Germany. Your website says shipping is unavailable for my region. Do you have plans to expand international shipping?,Urgent,Shipping
TKT-10145,Integration with third-party tool,Do you support integration with Slack? We use it heavily for project management and having a native connector would save us hours of manual data transfer each weekly.,Medium,Product
TKT-11140,Onboarding guidance needed,We just signed up for the Professional plan with 50 users. Could you recommend the best way to onboard our team? We primarily need team collaboration and white-label options.,Low,Product
TKT-11222,Mobile app sync issues,Changes made in the mobile app on Android 13 aren't syncing to the web version. I've checked my internet connection and it's stable. App version 4.0.0.,High,Technical
TKT-10043,Data deletion request,"Per our company policy, I'm requesting complete deletion of all data associated with account ops@startup.dev. Please confirm when this is done and provide a confirmation reference.",Urgent,Account
TKT-10991,Duplicate charge,I was charged twice for the same transaction on February 28. The duplicate charge is $199.50. Please refund the extra charge to my bank transfer.,Medium,Billing
TKT-10298,Data deletion request,"Per our company policy, I'm requesting complete deletion of all data associated with account admin@techfirm.io. Please confirm when this is done and provide a confirmation reference.",Medium,Account
TKT-11002,Cannot connect to API,Our integration is returning NULL_REF_500 errors when calling the /v2/data endpoint. This started around 11:00 AM PST today. API key is still valid. Please check server-side logs.,Medium,Technical
TKT-10113,Data deletion request,"Per our company policy, I'm requesting complete deletion of all data associated with account ops@startup.dev. Please confirm when this is done and provide a confirmation reference.",Low,Account
TKT-11584,Damaged package,My order #700126 arrived with significant damage to the packaging and the wireless keyboard inside is broken. I've attached photos. Please send a replacement.,Medium,Shipping
TKT-11141,Billing cycle change request,Can I switch my billing cycle from monthly to annual? I'd like to take advantage of the yearly discount for the Enterprise plan.,Medium,Billing
TKT-11084,Change shipping address,"I need to update the shipping address for order #700124 from Seattle to Boston. The order hasn't shipped yet. New address: 456 Oak Ave, Floor 2.",Urgent,Shipping
TKT-11296,Incorrect charge on my account,I noticed a charge of $12.99 on my last statement that I don't recognize. My account number is AC-100024. Please investigate and issue a refund if this is an error.,Medium,Billing
TKT-10528,Data deletion request,"Per our company policy, I'm requesting complete deletion of all data associated with account maria.g@retailco.com. Please confirm when this is done and provide a confirmation reference.",Low,Account
TKT-11462,Webhook delivery failures,We're not receiving webhooks at our endpoint since March 15. The webhook URL is correctly configured. Our server returns 200 OK but your dashboard shows delivery failures.,Medium,Technical
TKT-10842,Mobile app sync issues,Changes made in the mobile app on Android 13 aren't syncing to the web version. I've checked my internet connection and it's stable. App version 4.1.2.,High,Technical
TKT-10558,Data deletion request,"Per our company policy, I'm requesting complete deletion of all data associated with account ops@startup.dev. Please confirm when this is done and provide a confirmation reference.",Low,Account
TKT-11603,Permission issue for team member,User maria.g@retailco.com should have admin-level access but can only view dashboards. I've checked the role settings and they show 'Admin'. Please investigate.,Low,Account
TKT-11490,Onboarding guidance needed,We just signed up for the Enterprise plan with 50 users. Could you recommend the best way to onboard our team? We primarily need workflow automation and role-based access.,Medium,Product
TKT-10688,Account merger request,We have two separate accounts (ops@startup.dev and team@retailco.com) that need to be merged. The team@retailco.com account was created by mistake. Please consolidate under admin@techfirm.io.,Low,Account
TKT-11918,Unhappy customer,"I've been having nothing but problems. The custom dashboards doesn't work, I was overcharged $199.50, and my last order #700118 never arrived. Please fix all of this.",High,Product
TKT-11442,Slow dashboard loading,"The analytics dashboard takes over 30 seconds to load. This happens in both Firefox and Safari. Other pages load normally. Our dataset has about 1,000,000 rows.",Medium,Technical
TKT-10928,Upgrade plan request,I'd like to upgrade from the Professional to the Growth plan. We currently have 15 users and need the additional features. What's the process?,High,Account
TKT-11382,Webhook delivery failures,We're not receiving webhooks at our endpoint since yesterday. The webhook URL is correctly configured. Our server returns 200 OK but your dashboard shows delivery failures.,Medium,Technical
TKT-10275,Beta feature feedback,"I've been testing the new advanced analytics beta. Overall it's great, but I found 2 issues: the filter doesn't apply to grouped views, and export drops the last column.",Medium,Product
TKT-11698,Reset my password,I've been locked out of my account (jdoe@acmecorp.com) after too many failed login attempts. The password reset email isn't arriving. Can you manually reset it?,High,Account
TKT-10979,Request expedited shipping,Is it possible to upgrade order #700111 to expedited shipping? I need it by last Monday. Happy to pay the difference.,Medium,Shipping
TKT-10244,International shipping inquiry,I'm trying to place an order for delivery to India. Your website says shipping is unavailable for my region. Do you have plans to expand international shipping?,Low,Shipping
TKT-11819,Product feedback and bug report,"The new workflow automation is great but it crashes when exporting to CSV on Windows 10. Error: ERR_502. Also, it would be useful to add role-based access support.",Medium,Technical
TKT-11934,Question about my account,"Hi, I have some questions about my Professional plan. Can you explain the features and also why my bill is $29.99? Account ops@startup.dev.",Medium,Account
TKT-11796,Need to cancel and get refund,I want to cancel my Professional subscription and get a prorated refund for the remaining 14 days. Account ops@startup.dev. Please process ASAP.,High,Account
TKT-11845,Need to cancel and get refund,I want to cancel my Professional subscription and get a prorated refund for the remaining 10 days. Account maria.g@retailco.com. Please process ASAP.,High,Account
TKT-10702,Cannot connect to API,Our integration is returning AUTH_401 errors when calling the /v2/data endpoint. This started around 4:45 PM GMT today. API key is still valid. Please check server-side logs.,High,Technical
TKT-10466,Unexpected price increase,My monthly bill went from $75.00 to $59.99 without any prior notice. I'm on the Enterprise plan. Please explain this increase or revert it.,High,Billing
TKT-10983,Permission issue for team member,User jdoe@acmecorp.com should have admin-level access but can only view dashboards. I've checked the role settings and they show 'Admin'. Please investigate.,High,Account
TKT-11204,Wrong item shipped,I ordered monitor stand but received mouse pad instead. Order #700149. I need the correct item sent and a return label for the wrong one.,Medium,Shipping
TKT-10549,Damaged package,My order #700111 arrived with significant damage to the packaging and the laptop sleeve inside is broken. I've attached photos. Please send a replacement.,Medium,Shipping
TKT-10087,Data export failing,"When I try to export reports as CSV, the download starts but fails at about 60%. File size should be around 120MB. Using Edge on Windows 11.",Urgent,Technical
TKT-11840,Shipping delay affecting our project,Order #700132 with docking station was supposed to arrive March 10. Our team can't proceed without it. Can we get an updated ETA? Also considering canceling if delayed further.,Medium,Shipping
TKT-11652,Slow dashboard loading,"The analytics dashboard takes over 30 seconds to load. This happens in both Safari and Chrome. Other pages load normally. Our dataset has about 500,000 rows.",Medium,Technical
TKT-11474,Return shipping label needed,I'd like to return order #700146 (laptop sleeve). It doesn't fit our requirements. Could you please email a prepaid return label to maria.g@retailco.com?,High,Shipping
TKT-10523,Data deletion request,"Per our company policy, I'm requesting complete deletion of all data associated with account maria.g@retailco.com. Please confirm when this is done and provide a confirmation reference.",Medium,Account
TKT-10209,Order not received,My order #700138 was supposed to arrive by last Friday but I still haven't received it. Tracking number 1Z9999918 shows it's been in transit for 7 days.,High,Shipping
TKT-10074,Change shipping address,"I need to update the shipping address for order #700143 from San Francisco to Los Angeles. The order hasn't shipped yet. New address: 456 Oak Ave, Floor 2.",High,Shipping
TKT-10018,Change account owner,We need to transfer account ownership from jdoe@acmecorp.com to jsmith@techfirm.io. John Doe has left the company and Rachel Adams will be the new admin.,Medium,Account
TKT-11017,Mobile app sync issues,Changes made in the mobile app on iOS 17 aren't syncing to the web version. I've checked my internet connection and it's stable. App version 3.2.1.,Medium,Technical
TKT-10304,Order not received,My order #700142 was supposed to arrive by yesterday but I still haven't received it. Tracking number 1Z9999949 shows it's been in transit for 7 days.,Medium,Shipping
TKT-11960,Urgent issue,Please call me back regarding my recent order and billing. Account jdoe@acmecorp.com. This needs immediate attention.,Medium,Billing
TKT-10404,Request expedited shipping,Is it possible to upgrade order #700149 to expedited shipping? I need it by two days ago. Happy to pay the difference.,High,Shipping
TKT-11410,Documentation unclear,The docs for the advanced analytics API endpoint are missing examples for project management. I've spent 3 hours trying to figure out the correct request format. Can you provide a working example?,Low,Product
TKT-11607,Mobile app sync issues,Changes made in the mobile app on Android 13 aren't syncing to the web version. I've checked my internet connection and it's stable. App version 3.2.1.,Medium,Technical
TKT-10750,Beta feature feedback,"I've been testing the new custom dashboards beta. Overall it's great, but I found 2 issues: the filter doesn't apply to grouped views, and export drops the last column.",Urgent,Product
TKT-10192,Report generation timeout,"Generating the monthly summary report times out after 30 seconds. The report covers 100,000 records. This worked fine last month with similar data volume.",Medium,Technical
TKT-10207,Report generation timeout,"Generating the monthly summary report times out after 30 seconds. The report covers 100,000 records. This worked fine last month with similar data volume.",Medium,Technical
TKT-11188,Cancel my subscription,I need to cancel my Starter subscription effective last Monday. Please confirm the cancellation and any remaining balance. Account holder: Maria Garcia.,Medium,Account
TKT-10105,Onboarding guidance needed,We just signed up for the Professional plan with 15 users. Could you recommend the best way to onboard our team? We primarily need team collaboration and role-based access.,High,Product
TKT-11272,Cannot connect to API,Our integration is returning AUTH_401 errors when calling the /v2/data endpoint. This started around 11:00 AM PST today. API key is still valid. Please check server-side logs.,Low,Technical
TKT-10016,Duplicate charge,I was charged twice for the same transaction on March 15. The duplicate charge is $99.95. Please refund the extra charge to my wire transfer.,High,Billing
TKT-11418,Upgrade plan request,I'd like to upgrade from the Professional to the Business plan. We currently have 15 users and need the additional features. What's the process?,Medium,Account
TKT-11400,Documentation unclear,The docs for the custom dashboards API endpoint are missing examples for customer onboarding. I've spent 5 hours trying to figure out the correct request format. Can you provide a working example?,Low,Product
TKT-11477,Slow dashboard loading,"The analytics dashboard takes over 90 seconds to load. This happens in both Chrome and Firefox. Other pages load normally. Our dataset has about 250,000 rows.",Medium,Technical
TKT-10509,Request expedited shipping,Is it possible to upgrade order #700115 to expedited shipping? I need it by March 15. Happy to pay the difference.,Low,Shipping
TKT-11972,Urgent issue,Please call me back regarding my recent order and billing. Account admin@techfirm.io. This needs immediate attention.,Medium,Billing
TKT-11114,Damaged package,My order #700144 arrived with significant damage to the packaging and the wireless keyboard inside is broken. I've attached photos. Please send a replacement.,Medium,Shipping
TKT-10827,Report generation timeout,"Generating the monthly summary report times out after 90 seconds. The report covers 250,000 records. This worked fine last month with similar data volume.",Low,Technical
TKT-10089,International shipping inquiry,I'm trying to place an order for delivery to Australia. Your website says shipping is unavailable for my region. Do you have plans to expand international shipping?,High,Shipping
TKT-11435,Integration with third-party tool,Do you support integration with Slack? We use it heavily for customer onboarding and having a native connector would save us hours of manual data transfer each bi-weekly.,Medium,Product
TKT-10081,Duplicate charge,I was charged twice for the same transaction on yesterday. The duplicate charge is $12.99. Please refund the extra charge to my wire transfer.,Medium,Billing
TKT-10375,Onboarding guidance needed,We just signed up for the Professional plan with 10 users. Could you recommend the best way to onboard our team? We primarily need custom dashboards and role-based access.,Medium,Product
TKT-11153,Reset my password,I've been locked out of my account (admin@techfirm.io) after too many failed login attempts. The password reset email isn't arriving. Can you manually reset it?,Medium,Account
TKT-11299,Damaged package,My order #700141 arrived with significant damage to the packaging and the laptop sleeve inside is broken. I've attached photos. Please send a replacement.,Low,Shipping
TKT-10469,Change shipping address,"I need to update the shipping address for order #700148 from Seattle to Miami. The order hasn't shipped yet. New address: 123 Main St, Suite 400.",Medium,Shipping
TKT-10791,Incorrect charge on my account,I noticed a charge of $12.99 on my last statement that I don't recognize. My account number is AC-100040. Please investigate and issue a refund if this is an error.,Medium,Billing
TKT-10306,Need to update payment method,I'd like to update the credit card on file for account AC-100043. My current card ending in 1234 has expired.,Urgent,Billing
TKT-11012,Report generation timeout,"Generating the monthly summary report times out after 90 seconds. The report covers 100,000 records. This worked fine last month with similar data volume.",Low,Product
TKT-11627,Application crashes on startup,"After the latest update, the desktop app crashes immediately on launch. I'm running macOS Ventura version 3.2.1. Error code: NULL_REF_500. I've tried reinstalling but the issue persists.",Medium,Technical
TKT-11711,Charged for item I returned,I returned order #700117 on March 15 but I was charged $149.00 again. The docking station was sent back via bank transfer. Need a refund.,Medium,Billing
TKT-10984,Order not received,My order #700130 was supposed to arrive by yesterday but I still haven't received it. Tracking number 1Z9999939 shows it's been in transit for 10 days.,Medium,Shipping
TKT-11875,Product feedback and bug report,"The new team collaboration is great but it crashes when exporting to CSV on Ubuntu 22.04. Error: NULL_REF_500. Also, it would be useful to add API rate limits support.",Low,Technical
TKT-10795,Onboarding guidance needed,We just signed up for the Professional plan with 10 users. Could you recommend the best way to onboard our team? We primarily need custom dashboards and white-label options.,Medium,Product
TKT-10635,Suggestion for UI improvement,The current layout of the advanced analytics page requires too many clicks to accomplish basic tasks. Suggest adding a quick-action toolbar or keyboard shortcuts for power users.,Low,Product
TKT-11501,Billing cycle change request,Can I switch my billing cycle from monthly to annual? I'd like to take advantage of the yearly discount for the Business plan.,Low,Billing
TKT-11407,Application crashes on startup,"After the latest update, the desktop app crashes immediately on launch. I'm running macOS Sonoma version 4.1.2. Error code: ERR_502. I've tried reinstalling but the issue persists.",Medium,Technical
TKT-11773,Product feedback and bug report,"The new workflow automation is great but it crashes when exporting to CSV on Windows 11. Error: RATE_LIMIT_429. Also, it would be useful to add API rate limits support.",Urgent,Technical
TKT-11914,Need help,I have an issue with my account AC-100049. Something isn't working right. Can someone look into it?,Low,Account
TKT-11703,Can't access account after plan change,I upgraded to Professional yesterday and now I get RATE_LIMIT_429 when I try to log in. My email is admin@techfirm.io. Was the upgrade processed correctly?,Medium,Account
TKT-11987,Following up,I contacted you February 28 about a problem but haven't heard back. My ticket was about docking station and charges on my account. Reference AC-100022.,Urgent,Account
TKT-10993,Data deletion request,"Per our company policy, I'm requesting complete deletion of all data associated with account admin@techfirm.io. Please confirm when this is done and provide a confirmation reference.",Medium,Account
TKT-11904,Unhappy customer,"I've been having nothing but problems. The team collaboration doesn't work, I was overcharged $75.00, and my last order #700149 never arrived. Please fix all of this.",Medium,Product
TKT-10141,Request for invoice copy,Could you please send me a copy of my invoice for May? I need it for my expense report. Account AC-100014.,Medium,Billing
TKT-11056,Need to update payment method,I'd like to update the credit card on file for account AC-100028. My current card ending in 1234 has expired.,Low,Billing
TKT-11546,Need to update payment method,I'd like to update the credit card on file for account AC-100029. My current card ending in 4242 has expired.,High,Billing
TKT-10465,Beta feature feedback,"I've been testing the new workflow automation beta. Overall it's great, but I found 3 issues: the filter doesn't apply to grouped views, and export drops the last column.",Medium,Product
TKT-11051,Unexpected price increase,My monthly bill went from $29.99 to $59.99 without any prior notice. I'm on the Growth plan. Please explain this increase or revert it.,High,Billing
TKT-10835,Suggestion for UI improvement,The current layout of the advanced analytics page requires too many clicks to accomplish basic tasks. Suggest adding a quick-action toolbar or keyboard shortcuts for power users.,High,Product
TKT-10044,Order not received,My order #700143 was supposed to arrive by March 15 but I still haven't received it. Tracking number 1Z9999903 shows it's been in transit for 14 days.,High,Shipping
TKT-10445,Beta feature feedback,"I've been testing the new advanced analytics beta. Overall it's great, but I found 3 issues: the filter doesn't apply to grouped views, and export drops the last column.",Medium,Product
TKT-10810,Suggestion for UI improvement,The current layout of the custom dashboards page requires too many clicks to accomplish basic tasks. Suggest adding a quick-action toolbar or keyboard shortcuts for power users.,Medium,Billing
TKT-11249,International shipping inquiry,I'm trying to place an order for delivery to Brazil. Your website says shipping is unavailable for my region. Do you have plans to expand international shipping?,Urgent,Shipping
TKT-10223,Permission issue for team member,User maria.g@retailco.com should have admin-level access but can only view dashboards. I've checked the role settings and they show 'Admin'. Please investigate.,High,Account
TKT-10789,Return shipping label needed,I'd like to return order #700101 (USB-C hub). It doesn't fit our requirements. Could you please email a prepaid return label to admin@techfirm.io?,High,Shipping
TKT-10648,Change account owner,We need to transfer account ownership from ops@startup.dev to team@retailco.com. Maria Garcia has left the company and Miguel Torres will be the new admin.,Medium,Account
TKT-10887,Cannot connect to API,Our integration is returning RATE_LIMIT_429 errors when calling the /v2/data endpoint. This started around 9:30 AM EST today. API key is still valid. Please check server-side logs.,High,Technical
TKT-11900,Can't access account after plan change,I upgraded to Enterprise yesterday and now I get ERR_502 when I try to log in. My email is jdoe@acmecorp.com. Was the upgrade processed correctly?,Low,Account
TKT-11080,Beta feature feedback,"I've been testing the new custom dashboards beta. Overall it's great, but I found 2 issues: the filter doesn't apply to grouped views, and export drops the last column.",High,Product
TKT-11520,Documentation unclear,The docs for the custom dashboards API endpoint are missing examples for project management. I've spent 3 hours trying to figure out the correct request format. Can you provide a working example?,Low,Product
TKT-11927,Following up,I contacted you March 1 about a problem but haven't heard back. My ticket was about USB-C hub and charges on my account. Reference AC-100040.,High,Billing
TKT-11684,Partial order received,Order #700101 was supposed to contain 4 items but only 2 arrived. Missing: docking station. The packing slip shows all items were included.,Medium,Shipping
TKT-10611,Request for invoice copy,Could you please send me a copy of my invoice for January? I need it for my expense report. Account AC-100037.,Low,Billing
TKT-10009,International shipping inquiry,I'm trying to place an order for delivery to India. Your website says shipping is unavailable for my region. Do you have plans to expand international shipping?,Medium,Shipping
TKT-11669,Wrong item shipped,I ordered laptop sleeve but received phone charger instead. Order #700136. I need the correct item sent and a return label for the wrong one.,High,Shipping
TKT-10576,Need to update payment method,I'd like to update the credit card on file for account AC-100045. My current card ending in 5678 has expired.,Medium,Billing
TKT-11893,Charged for item I returned,I returned order #700108 on last Friday but I was charged $49.00 again. The monitor stand was sent back via wire transfer. Need a refund.,Urgent,Billing
TKT-11133,Change account owner,We need to transfer account ownership from jdoe@acmecorp.com to backup@acmecorp.com. Sarah Chen has left the company and Rachel Adams will be the new admin.,High,Account
TKT-11602,Slow dashboard loading,"The analytics dashboard takes over 90 seconds to load. This happens in both Chrome and Chrome. Other pages load normally. Our dataset has about 500,000 rows.",Medium,Technical
TKT-11355,Suggestion for UI improvement,The current layout of the workflow automation page requires too many clicks to accomplish basic tasks. Suggest adding a quick-action toolbar or keyboard shortcuts for power users.,Medium,Product
TKT-11044,Change shipping address,"I need to update the shipping address for order #700124 from Austin to Denver. The order hasn't shipped yet. New address: 789 Pine Rd, Unit B.",Urgent,Shipping
TKT-11732,Shipping delay affecting our project,Order #700142 with docking station was supposed to arrive February 28. Our team can't proceed without it. Can we get an updated ETA? Also considering canceling if delayed further.,Low,Shipping
TKT-11658,Account merger request,We have two separate accounts (jdoe@acmecorp.com and team@retailco.com) that need to be merged. The cto@startup.dev account was created by mistake. Please consolidate under ops@startup.dev.,Urgent,Account
TKT-11985,Question about my account,"Hi, I have some questions about my Business plan. Can you explain the features and also why my bill is $149.00? Account jdoe@acmecorp.com.",High,Account
TKT-10746,Billing cycle change request,Can I switch my billing cycle from monthly to annual? I'd like to take advantage of the yearly discount for the Starter plan.,High,Billing
TKT-11035,How to set up automated reports,I'm trying to configure scheduled reports to be emailed to my team every monthly. I can't find this option in the Growth plan. Is it available or do I need to upgrade?,Medium,Product
TKT-10920,Suggestion for UI improvement,The current layout of the advanced analytics page requires too many clicks to accomplish basic tasks. Suggest adding a quick-action toolbar or keyboard shortcuts for power users.,Medium,Product
TKT-10310,Comparison with competitor,"I'm evaluating your product against Freshdesk. Can you provide a comparison of features, especially around workflow automation and white-label options? We're a 25-person company.",High,Product
TKT-10963,Cancel my subscription,I need to cancel my Growth subscription effective February 28. Please confirm the cancellation and any remaining balance. Account holder: John Doe.,Medium,Account
TKT-11693,Permission issue for team member,User maria.g@retailco.com should have admin-level access but can only view dashboards. I've checked the role settings and they show 'Admin'. Please investigate.,High,Account
TKT-10108,Account merger request,We have two separate accounts (admin@techfirm.io and backup@acmecorp.com) that need to be merged. The cto@startup.dev account was created by mistake. Please consolidate under ops@startup.dev.,Medium,Account
TKT-11555,Comparison with competitor,"I'm evaluating your product against Zendesk. Can you provide a comparison of features, especially around team collaboration and audit logging? We're a 150-person company.",Low,Product
TKT-11708,Shipping delay affecting our project,Order #700148 with docking station was supposed to arrive last Monday. Our team can't proceed without it. Can we get an updated ETA? Also considering canceling if delayed further.,Medium,Shipping
TKT-11300,Beta feature feedback,"I've been testing the new workflow automation beta. Overall it's great, but I found 4 issues: the filter doesn't apply to grouped views, and export drops the last column.",High,Product
TKT-10540,How to set up automated reports,I'm trying to configure scheduled reports to be emailed to my team every bi-weekly. I can't find this option in the Professional plan. Is it available or do I need to upgrade?,Medium,Product
TKT-11478,Cancel my subscription,I need to cancel my Professional subscription effective March 10. Please confirm the cancellation and any remaining balance. Account holder: John Doe.,High,Account
TKT-11757,Shipping delay affecting our project,Order #700140 with USB-C hub was supposed to arrive March 15. Our team can't proceed without it. Can we get an updated ETA? Also considering canceling if delayed further.,Medium,Shipping
TKT-11636,Unexpected price increase,My monthly bill went from $99.95 to $249.50 without any prior notice. I'm on the Enterprise plan. Please explain this increase or revert it.,Low,Billing
TKT-11113,Cancel my subscription,I need to cancel my Professional subscription effective two days ago. Please confirm the cancellation and any remaining balance. Account holder: Alex Kim.,High,Account
TKT-10840,How to set up automated reports,I'm trying to configure scheduled reports to be emailed to my team every monthly. I can't find this option in the Enterprise plan. Is it available or do I need to upgrade?,High,Product
TKT-10899,Partial order received,Order #700121 was supposed to contain 5 items but only 2 arrived. Missing: USB-C hub. The packing slip shows all items were included.,Low,Shipping
TKT-10399,Damaged package,My order #700126 arrived with significant damage to the packaging and the USB-C hub inside is broken. I've attached photos. Please send a replacement.,Medium,Shipping
TKT-10675,Documentation unclear,The docs for the workflow automation API endpoint are missing examples for lead tracking. I've spent 3 hours trying to figure out the correct request format. Can you provide a working example?,High,Product
TKT-11721,Need to cancel and get refund,I want to cancel my Business subscription and get a prorated refund for the remaining 7 days. Account ops@startup.dev. Please process ASAP.,Urgent,Account
TKT-11643,Reset my password,I've been locked out of my account (maria.g@retailco.com) after too many failed login attempts. The password reset email isn't arriving. Can you manually reset it?,Urgent,Account
TKT-10225,Onboarding guidance needed,We just signed up for the Starter plan with 5 users. Could you recommend the best way to onboard our team? We primarily need workflow automation and API rate limits.,Medium,Product
TKT-11210,How to set up automated reports,I'm trying to configure scheduled reports to be emailed to my team every bi-weekly. I can't find this option in the Enterprise plan. Is it available or do I need to upgrade?,Urgent,Product
TKT-11125,Suggestion for UI improvement,The current layout of the custom dashboards page requires too many clicks to accomplish basic tasks. Suggest adding a quick-action toolbar or keyboard shortcuts for power users.,High,Product
TKT-11783,Charged for item I returned,I returned order #700129 on yesterday but I was charged $12.99 again. The laptop sleeve was sent back via ACH. Need a refund.,Medium,Billing
TKT-11771,Can't access account after plan change,I upgraded to Professional yesterday and now I get TIMEOUT_408 when I try to log in. My email is admin@techfirm.io. Was the upgrade processed correctly?,High,Account
TKT-10924,International shipping inquiry,I'm trying to place an order for delivery to Australia. Your website says shipping is unavailable for my region. Do you have plans to expand international shipping?,High,Shipping
TKT-11157,Cannot connect to API,Our integration is returning AUTH_401 errors when calling the /v2/data endpoint. This started around 11:00 AM PST today. API key is still valid. Please check server-side logs.,High,Technical
TKT-10228,Add team members,I need to add 5 new users to our Business plan. Their email addresses are attached. Please confirm if this affects our pricing.,Medium,Account
TKT-10801,Promo code not applied,I entered promo code WELCOME15 during checkout but the discount wasn't applied. I was charged the full $349.00. Please adjust my bill.,Medium,Billing
TKT-11649,Wrong item shipped,I ordered USB-C hub but received phone charger instead. Order #700121. I need the correct item sent and a return label for the wrong one.,High,Shipping
TKT-10064,Partial order received,Order #700134 was supposed to contain 5 items but only 1 arrived. Missing: docking station. The packing slip shows all items were included.,Medium,Shipping
TKT-10226,Need to update payment method,I'd like to update the credit card on file for account AC-100042. My current card ending in 3456 has expired.,Medium,Billing
TKT-10071,Request for invoice copy,Could you please send me a copy of my invoice for February? I need it for my expense report. Account AC-100044.,Urgent,Billing
TKT-11116,Duplicate charge,I was charged twice for the same transaction on last Monday. The duplicate charge is $199.50. Please refund the extra charge to my credit card.,Medium,Billing
TKT-10671,Need to update payment method,I'd like to update the credit card on file for account AC-100030. My current card ending in 3456 has expired.,High,Billing
TKT-10531,Unexpected price increase,My monthly bill went from $349.00 to $129.95 without any prior notice. I'm on the Starter plan. Please explain this increase or revert it.,High,Billing
TKT-11634,International shipping inquiry,I'm trying to place an order for delivery to Australia. Your website says shipping is unavailable for my region. Do you have plans to expand international shipping?,High,Shipping
TKT-11238,Upgrade plan request,I'd like to upgrade from the Enterprise to the Business plan. We currently have 15 users and need the additional features. What's the process?,Urgent,Account
TKT-10139,Change shipping address,"I need to update the shipping address for order #700105 from San Francisco to Portland. The order hasn't shipped yet. New address: 456 Oak Ave, Floor 2.",Medium,Shipping
TKT-11282,Mobile app sync issues,Changes made in the mobile app on iOS 17 aren't syncing to the web version. I've checked my internet connection and it's stable. App version 2.8.5.,Urgent,Technical
